Line,Mass
Dwe,1.1013
Dwe,1.1197
Dwe,0.3072
Dwe,0.85
E73,0.22
E73,0.28
E73,0.17
E73,0.05
E73,0.25
E73,0.33
E73,0.15
E73,0.14
E73,0.18
E73,0.3271
E73,0.36
E73,0.04
E73,0.26
E73,0.5466
E73,1.01
E73,0.49
E73,0.12
Gok,0.35
Gok,0.6625
Gok,0.46
Gok,0.3086
Gok,0.27
Gok,0.45
Gok,0.64
Gok,0.35
Gok,0.78
Gok,0.54
Gok,0.41
Gok,0.26
Gok,0.65
Gok,0.55
Gok,0.20278
Gok,0.64
Gok,1.22
Gok,1.03
Gok,1.27
ICC,0.1
ICC,0.31
ICC,0.13
ICC,0.3075
ICC,0.0146
ICC,0.1328
ICC,0.12
ICC,0.0806
ICC,0.13
ICC,0.1718
ICC,0.18
ICC,0.11
ICC,0.2
ICC,0.04
ICC,0.07
ICC,0.2784
ICC,0.2273
ICC,0.1873
ICC,0.21
ICC,0.4788
ICC,0.45
ICC,0.1214
ICC,0.0286
ICC,0.2551
ICC,0.048
ICC,0.54
K64,0.14
K64,0.29
K64,0.21
K64,0.157
K64,0.336
K64,0.31
K64,0.17
K64,0.2287
K64,0.2641
K64,0.21
K64,0.28
K64,0.34
K64,0.16
K64,0.2075
K64,0.3287
K64,0.29
K64,0.3
K64,0.15
K64,0.2177
K64,0.31
K64,0.5992
K64,0.31
K64,0.21
K64,0.4438
K64,0.32
K64,0.25
K64,0.53
K64,0.38
K64,0.7
K64,0.74
K64,0.262
K64,0.41
K64,0.13
K64,0.3
K64,0.44
K64,0.3844
K64,0.3004
K75,0.2275
K75,0.24
K75,0.18
K75,0.08
K75,0.0271
K75,0.12
K75,0.14
K75,0.08
K75,0.49
K75,0.22
K75,0.37
K75,0.61
K75,0.1559
K75,0.52
K75,0.39
K77,0.1037
K77,0.0973
K77,0.09
K77,0.09
K77,0.13
K77,0.0394
K77,0.2503
K77,0.33
K77,0.17
K77,0.08
K77,0.21
K77,0.16
K77,0.23
K77,0.23
K77,0.12
K77,0.2084
K77,0.07
K77,0.1634
K77,0.1595
K77,0.09
K77,0.17
K77,0.41
K77,0.22
K77,0.134
K77,0.13
K77,0.14
K77,0.54
K77,1.06
K77,0.39
K77,1.16
K77,0.2152
K77,0.5814
K77,0.22
K77,0.0406
Myl,0.2679
Myl,0.26
Myl,0.37
Myl,0.29
Myl,0.23
Myl,0.39
Myl,0.1501
Myl,0.5114
Myl,0.1993
Myl,0.2115
Myl,0.1582
Myl,0.2272
Myl,0.4
Myl,0.45
Myl,0.1904
Myl,0.62
Myl,0.41
Myl,0.23
Myl,0.33
Myl,0.1851
Myl,0.47
Myl,0.3747
Myl,0.46
Myl,0.45
Myl,0.39
Myl,0.4831
Myl,0.2826
Myl,0.2766
Myl,0.44
Myl,0.5954
Myl,1.09
Myl,0.88
Myl,0.56
Myl,0.43
Myl,0.5896
Myl,0.55
Myl,0.15
O11,0.18
O11,0.163
O11,0.07
O11,0.1973
O11,0.36
O11,0.1001
O11,0.15
O11,0.26
O11,0.33
O11,0.21
O11,0.18
O11,0.25
O11,0.2322
O11,0.2
O11,0.1797
O11,0.41
O11,0.18
O11,0.18
O11,0.32
O11,0.01
O11,0.18
O11,0.25
O11,0.29
O11,0.04
O11,0.17
O11,0.31
O11,0.41
O11,0.52
O11,0.76
O11,0.19
O11,0.22
O84,0.19
O84,0.316
O84,0.29
O84,0.1992
O84,0.33
O84,0.23
O84,0.34
O84,0.11
O84,0.15
O84,0.34
O84,0.41
O84,0.75
O84,0.234
O84,0.55
O84,0.48
O84,0.88
O84,0.89
O84,0.94
O84,0.97
S60,0.17
S60,0.12
S60,0.06
S60,0.2209
S60,0.14
S60,0.1357
S60,0.1576
S60,0.12
S60,0.16
S60,0.19
S60,0.3753
S60,0.15
S60,0.709
S60,0.05
S60,0.11
S60,0.0927
S60,0.22
S60,0.1997
S60,0.29
S60,0.16
S60,0.37
S60,0.22
S60,0.1
S60,0.14
S60,0.18
S60,0.38
S60,0.19
S60,0.11
S60,0.4002
S60,0.0854
S60,0.2947
S63,0.08
S63,0.133
S63,0.11
S63,0.24
S63,0.13
S63,0.0732
S63,0.015
S63,0.24
S63,0.22
S63,0.1495
S63,0.18
S63,0.2
S63,0.37
S63,0.2216
S63,0.34
S63,0.52
S63,0.18
S63,0.12
S63,0.19
S63,0.1482
S63,0.46
S63,0.2144
S63,0.5554
S63,1.77
S63,0.5762
S63,0.1066
S63,0.0779
S63,0.69
S63,0.2791
S63,0.1973
S63,0.57
S63,0.0617
S63,0.2296
S67,0.09
S67,0.05
S67,0.14
S67,0.15
S67,0.1921
S67,0.19
S67,0.0518
S67,0.065
S67,0.39
S67,0.2
S67,0.22
S67,0.426
S67,0.4133
S67,0.3667
S67,1.05
S67,0.18
UC5,0.35
UC5,0.02
UC5,0.29
UC5,0.0312
UC5,0.629
UC5,0.31
UC5,0.1
UC5,1.0822
UC5,0.78
UC5,0.35
UC5,0.2851
UC5,0.1785
UC5,0.37
UC5,1.03
UC5,0.6509
UC5,1.21
UC5,0.56
UC5,1.1
UC5,1.58
UC5,0.25
UC5,1.5121
