LeafArea,ID
1.037352399,1
1.754536976,2
1.812649994,3
1.82589704,4
1.502664301,5
1.606922525,6
1.468911161,7
1.319204306,8
0.996493853,9
1.010346475,10
0.938189746,11
1.019411595,12
1.200041666,13
1.330338303,14
0.950210503,15
1.16837494,16
1.866145761,17
0.97969383,18
1.416474497,19
1.1814398,20
1.101044958,21
0.795927132,22
1.72281746,23
1.273184983,24
1.560192296,25
1.631410433,26
1.632789025,27
1.844559568,28
1.881887351,29
1.873846312,30
1.860913754,31
1.45,32
1.161034022,33
1.410390017,34
1.604275537,35
1.723774927,36
1.638444384,37
1.627759196,38
1.516838818,39
1.262853911,40
1.118033989,41
2.209094837,42
2.17269418,43
1.993890669,44
1.895547414,45
2.197384809,46
1.722062717,47
1.569044295,48
1.397354644,49
1.285962674,50
1.133048984,51
2.057692883,52
1.137013632,53
1.174436035,54
1.03247276,55
0.883628881,56
1.391258423,57
1.796440926,58
2.140560674,59
0.961769203,60
1.635175832,61
1.681071087,62
1.549161063,63
1.51677289,64
1.245752784,65
1.059622574,66
1.47807307,67
1.609192344,68
1.062449999,69
1.567163042,70
1.535773421,71
1.631962009,72
1.431223253,73
1.35838139,74
1.297998459,75
1.310114499,76
1.36011029,77
0.921845974,78
0.72876608,79
0.594222181,80
1.561761826,81
1.205197079,82
1.823759853,83
2.05090224,84
0.774402996,85
2.228452378,86
1.588993392,87
2.140934375,88
2.109123041,89
2.152417246,90
1.28580714,91
2.023585926,92
0.739188745,93
1.458972241,94
1.766125703,95
1.45158534,96
1.553576519,97
1.018135551,98
1.100772456,99
1.533981747,100
2.155829307,101
1.861665921,102
1.949461464,103
1.245552086,104
0.693757883,105
0.813572369,106
1.201124473,107
1.57873367,108
0.860813569,109
0.688621812,110
1.191301809,111
0.984936546,112
1.079675877,113
0.895935266,114
0.934719209,115
1.226376777,116
1.364954212,117
1.779072792,118
1.081757829,119
1.318976876,120
1.472616719,121
1.459109317,122
1.142978565,123
1.604992212,124
1.61139691,125
1.534894133,126
1.547417203,127
1.523843824,128
1.376953158,129
0.769220385,130
1.217661694,131
1.467923704,132
0.944722181,133
1.299499904,134
1.715225933,135
1.915750506,136
1.899289341,137
1.990979658,138
1.189411619,139
1.953048899,140
1.904442176,141
1.538863217,142
1.552159786,143
1.642376327,144
1.702410056,145
1.054277003,146
1.267714479,147
1.846293584,148
1.715109326,149
1.079259005,150
1.426394055,151
1.219631092,152
1.578100124,153
1.636184586,154
1.520065788,155
1.826198237,156
1.82370502,157
1.815957048,158
1.334128929,159
1.392695229,160
1.170384552,161
1.188360215,162
1.814469619,163
1.768813161,164
1.781179385,165
1.649090659,166
2.04856047,167
1.965604233,168
2.114284749,169
0.91,170
2.101309116,171
2.03024629,172
1.954942454,173
1.834993188,174
1.901367929,175
1.689644933,176
1.552610705,177
0.732051911,178
1.496963593,179
0.939095309,180
1.775894141,181
0.803616824,182
1.370583817,183
1.685437629,184
1.852187895,185
0.78070481,186
2.174051517,187
2.106798519,188
1.99,189
1.975069619,190
2.0502195,191
1.790139659,192
1.582340039,193
1.672064592,194
1.483778959,195
0.697853853,196
1.446201922,197
0.975346092,198
1.82252572,199
0.860348766,200
